0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:23 +0700] "GET /MyWeb_2020/ControllerProduct?action=truyXuatSanPham HTTP/1.1" 200 29190
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:23 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:23 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:24 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:24 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:24 +0700] "GET /MyWeb_2020/images/search-icon.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:27 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:27 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:27 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:27 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:27 +0700] "GET /MyWeb_2020/ControllerUser?action=quanlikhachhang HTTP/1.1" 200 40358
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:27 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:27 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:27 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:28 +0700] "GET /MyWeb_2020/images/search-icon.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:45 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:45 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:45 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:45 +0700] "GET /MyWeb_2020/ControllerUser?action=lookUp&id=1 HTTP/1.1" 200 20837
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:45 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:45 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:45 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:45 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:45 +0700] "GET /MyWeb_2020/images/search-icon.png HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:51 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:51 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:51 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:51 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:51 +0700] "GET /MyWeb_2020/ControllerUser?action=quanlikhachhang HTTP/1.1" 200 40358
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:51 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:52 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:05:52 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:01 +0700] "GET /MyWeb_2020/ControllerUser?action=lookToEdit&id=1 HTTP/1.1" 200 21385
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:01 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:01 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:01 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:01 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:01 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:01 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:01 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:07 +0700] "GET /MyWeb_2020/ControllerUser?action=quanlikhachhang HTTP/1.1" 200 40358
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:07 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:07 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:07 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:07 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:07 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:07 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:07 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:09 +0700] "GET /MyWeb_2020/ControllerUser?action=lookToEdit&id=1 HTTP/1.1" 200 21385
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:09 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:09 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:09 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:09 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:09 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:09 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:09 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:22 +0700] "GET /MyWeb_2020/ControllerUser?action=quanlikhachhang HTTP/1.1" 200 40358
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:22 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:22 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:22 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:22 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:22 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:22 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:15:22 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:17:10 +0700] "POST /MyWeb_2020/ControllerUser?action=remove&id=2 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:17:11 +0700] "GET /MyWeb_2020/ControllerUser?action=quanlikhachhang HTTP/1.1" 200 38813
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:17:11 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:17:11 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:17:11 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:17:11 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:17:11 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:17:11 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:17:11 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:03 +0700] "POST /MyWeb_2020/ControllerUser?action=remove&id=8 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:04 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:04 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:04 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:04 +0700] "GET /MyWeb_2020/images/2.jpg HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:05 +0700] "GET /MyWeb_2020/newjs/custom.css HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:05 +0700] "GET /MyWeb_2020/ControllerUser?action=quanlikhachhang HTTP/1.1" 200 38813
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:05 +0700] "GET /MyWeb_2020/jsAdmin/owl.carousel.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:05 +0700] "GET /MyWeb_2020/cssAdmin/owl.carousel.css HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [18/Feb/2020:20:18:11 +0700] "POST /MyWeb_2020/ControllerUser?action=remove&id=7 HTTP/1.1" 200 33
